SENSACIONAL VILABARCA RIGS,,,,LINKS,,,RIG,,,CONCEPT,,,,MODEL SHEET,EXTRAS,,
EPS,NOME,PERSONAGEM,ID,LINK RIG,SYNC SKETCH,LINKS CONCEPT,RESPONSÁVEL,STATUS RIG,ENTREGA,RESPONSÁVEL CONCEPT,RESPONSÁVEL VETORIZAÇÃO,STATUS CONCEPT,ENTREGA,MODEL SHEET,COMENTÁRIOS,REVISÕES CONCEPT,REVISÕES RIG
105,DESCOMIDA MANETA,,SVB_RIG_DESCOMIDASMANETA,SVB_PER_DESCOMIDA_MANETA.zip,,,,CONCLUÍDO,,,,CONCLUÍDO,,,,,
105,DESCOMIDA MISTURADO,,SVB_104_DESCOMIDA_MISTURADO,,,,,NÃO INICIADO,,,,NÃO INICIADO,,,,,
105,DESCOMIDA PIZZA,,SVB_RIG_DESCOMIDAS_PIZZAV1,SVB_DESCOMIDAS-PIZZA_V1.zip,,,,CONCLUÍDO,,,,CONCLUÍDO,,,,,
105,DESCOMIDA SORRATEIRO,,SVB_RIG_DESCOMIDA SORRATEIRO,DECOMIDA SORRATEIRO,,,,CONCLUÍDO,,BRUNO,,CONCLUÍDO,12/03/2025,,,,
105,DESCOMIDA VOMITADO,,SVB_RIG_DESCOMIDA_VOMITADO,https://drive.google.com/file/d/11Li8IlL5p_uCPnbSzHBAK_5HqB2Nu1dU/view?usp=drive_link,,,TONTON,CONCLUÍDO,27/08/2025,BRUNO,,CONCLUÍDO,16/05/2025,,,,
105,DESCOMIDA VOMITADOR,,SVB_RIG_DESCOMIDA_VOMITADOR,https://drive.google.com/file/d/1nkQMAa3uYgSXH4okoUu5_zPFRskmj_Ij/view?usp=drive_link,,,TONTON,CONCLUÍDO,27/08/2025,BRUNO,,CONCLUÍDO,16/05/2025,,,,
105,DESCOMIDAS COMPOSTO,,SVB_RIG_DESCOMIDASDECOMPOSTO,SVB_RIG_descomida_composto.zip,,,,CONCLUÍDO,,,,CONCLUÍDO,,,,,
105,DESCOMIDAS GIGANTOR,,SVB_RIG_DESCOMIDASGIGANTOR,SVB_RIG_DESCOMIDAS_GIGANTOR.zip,,,,CONCLUÍDO,,,,CONCLUÍDO,,,,,
105,DESCOMIDAS MAGRO,,SVB_RIG_Descomida_magro,SVB_RIG_descomida_magro.zip,,,,CONCLUÍDO,,,,CONCLUÍDO,,,,,
105,DONA MUNDICA,,SVB_RIG_DONA_MUNDICA,SVB_RIG_DONAMUNDICA.tpl.zip,,SVB_PER_DONAMUNDICA.png SVB_PER_DONAMUNDICA.zip,GENIS,EM PRODUÇÃO,,BRUNO,,CONCLUÍDO,30/04/2025,,,,21/07/2025; 24/07/2025
105,DUPLA EM PÉ,,SVB_104_DUPLA,,,,,NÃO INICIADO,,BRUNO,,EM PRODUÇÃO,,,,,
105,DUPLA NA JANELA,,SVB_104_DUPLA_JANELA,,,,,NÃO INICIADO,,BRUNO,,EM PRODUÇÃO,,,,,
105,EXPRESSÃO REBIMBOCA,,SVB_104_EXP_REBI,,,,,NÃO INICIADO,,,,NÃO INICIADO,,,,,
105,GRUPO DE PESSOAS NA RUA,,SVB_104_GRUPO_RUA,,,,,,,,,NÃO INICIADO,,,,,
105,GRUPO NA JANELA,,SVB_104_GRUPO JANELA,,,,,NÃO INICIADO,,BRUNO,,EM PRODUÇÃO,,,,,
105,JUNIN,,SVB_RIG_JUNIN,SVB_RIG_JUNIN.tpl.zip,,SVB_PER_JUNIN.png SVB_PER_JUNIN.zip,JACKSON,CONCLUÍDO,23/05/2025,BRUNO,,CONCLUÍDO,27/04/2025,,,,
105,MARLON E ARI,,SVB_RIG_EQUIPE_DE_LIMPEZA,SVB_RIG_EQUIPE_DE_LIMPEZA.tpl.zip,,SVB_PER_EQUIPELIMPEZA.zip,JACKSON,CONCLUÍDO,25/08/2025,BRUNO,,CONCLUÍDO,17/06/2025,,devemos separar?,,
105,MELI,,SVB_RIG_MELI,https://drive.google.com/file/d/1uMNMC0GQDgIe_3ktIWjx0KvmEobMe8fW/view,,SVB_PER_TURN_MELI.jpg SVB_PER_TURN_MELI.psd,GENIS,CONCLUÍDO,30/07/2025,OTONIEL,,CONCLUÍDO,,,,,23/07/2025
